"","西元年","區域名","土地面積","里數","鄰數","戶數","人口數","男","女","戶量(人/戶)","人口密度","性別比(男/女)","年月","地區"
"1","2000"," 嘉義市","60.0256","110","1815","79716","266183","133793","132390","3.34","4434.49","101.06","89.12","嘉義市"
"2","2000"," 東區","29.1195","55","923","39792","130112","65330","64782","3.27","4468.21","100.85","89.12","嘉義市"
"3","2000"," 西區","30.9061","55","892","39924","136071","68463","67608","3.41","4402.72","101.26","89.12","嘉義市"
"4","2001"," 嘉義市","60.0256","110","1815","81262","267993","134621","133372","3.30","4464.65","100.94","90.12","嘉義市"
"5","2001"," 東區","29.1195","55","923","40513","130754","65627","65127","3.23","4490.26","100.77","90.12","嘉義市"
"6","2001"," 西區","30.9061","55","892","40749","137239","68994","68245","3.37","4440.51","101.10","90.12","嘉義市"
"7","2002"," 嘉義市","60.0256","110","1815","82444","267907","134289","133618","3.25","4463.21","100.50","91.12","嘉義市"
"8","2002"," 東區","29.1195","55","923","41177","131286","65695","65591","3.19","4508.53","100.16","91.12","嘉義市"
"9","2002"," 西區","30.9061","55","892","41267","136621","68594","68027","3.31","4420.52","100.83","91.12","嘉義市"
"10","2003"," 嘉義市","60.0256","110","1815","84429","269594","134909","134685","3.19","4491.32","100.17","92.12","嘉義市"
"11","2003"," 東區","29.1195","55","923","42235","132362","66043","66319","3.13","4545.48","99.58","92.12","嘉義市"
"12","2003"," 西區","30.9061","55","892","42194","137232","68866","68366","3.25","4440.29","100.73","92.12","嘉義市"
"13","2004"," 嘉義市","60.0256","110","1815","86261","270341","135027","135314","3.13","4503.76","99.79","93.12","嘉義市"
"14","2004"," 東區","29.1195","55","923","42845","132115","65702","66413","3.08","4536.99","98.93","93.12","嘉義市"
"15","2004"," 西區","30.9061","55","892","43416","138226","69325","68901","3.18","4472.45","100.62","93.12","嘉義市"
"16","2005"," 嘉義市","60.0256","110","1815","88011","271701","135252","136449","3.09","4526.42","99.12","94.12","嘉義市"
"17","2005"," 東區","29.1195","55","923","42271","128921","63769","65152","3.05","4427.31","97.88","94.12","嘉義市"
"18","2005"," 西區","30.9061","55","892","45740","142780","71483","71297","3.12","4619.80","100.26","94.12","嘉義市"
"19","2006"," 嘉義市","60.0256","108","1778","89385","272364","135083","137281","3.05","4537.46","98.40","95.12","嘉義市"
"20","2006"," 東區","29.1195","53","886","42707","128482","63193","65289","3.01","4412.23","96.79","95.12","嘉義市"
"21","2006"," 西區","30.9061","55","892","46678","143882","71890","71992","3.08","4655.46","99.86","95.12","嘉義市"
"22","2007"," 嘉義市","60.0256","108","1778","91065","273075","135112","137963","3.00","4549.31","97.93","96.12","嘉義市"
"23","2007"," 東區","29.1195","53","886","43381","128497","63028","65469","2.96","4412.75","96.27","96.12","嘉義市"
"24","2007"," 西區","30.9061","55","892","47684","144578","72084","72494","3.03","4677.98","99.43","96.12","嘉義市"
"25","2008"," 嘉義市","60.0256","108","1778","93138","273793","135283","138510","2.94","4561.27","97.67","97.12","嘉義市"
"26","2008"," 東區","29.1195","53","886","44096","128284","62851","65433","2.91","4405.43","96.05","97.12","嘉義市"
"27","2008"," 西區","30.9061","55","892","49042","145509","72432","73077","2.97","4708.10","99.12","97.12","嘉義市"
"28","2009"," 嘉義市","60.0256","108","1778","94513","273861","134980","138881","2.90","4562.40","97.19","98.12","嘉義市"
"29","2009"," 東區","29.1195","53","886","44517","127736","62428","65308","2.87","4386.61","95.59","98.12","嘉義市"
"30","2009"," 西區","30.9061","55","892","49996","146125","72552","73573","2.92","4728.03","98.61","98.12","嘉義市"
"31","2010"," 嘉義市","60.0256","84","1379","95152","272390","134036","138354","2.86","4537.90","96.88","99.12","嘉義市"
"32","2010"," 東區","29.1195","39","636","44115","125297","61168","64129","2.84","4302.86","95.38","99.12","嘉義市"
"33","2010"," 西區","30.9061","45","743","51037","147093","72868","74225","2.88","4759.35","98.17","99.12","嘉義市"
"34","2011"," 嘉義市","60.0256","84","1379","96043","271526","133453","138073","2.83","4523.50","96.65","100.12","嘉義市"
"35","2011"," 東區","29.1195","39","636","44366","124495","60779","63716","2.81","4275.31","95.39","100.12","嘉義市"
"36","2011"," 西區","30.9061","45","743","51677","147031","72674","74357","2.85","4757.35","97.74","100.12","嘉義市"
"37","2012"," 嘉義市","60.0256","84","1379","97018","271220","133090","138130","2.80","4518.41","96.35","101.12","嘉義市"
"38","2012"," 東區","29.1195","39","636","44770","124242","60565","63677","2.78","4266.63","95.11","101.12","嘉義市"
"39","2012"," 西區","30.9061","45","743","52248","146978","72525","74453","2.81","4755.63","97.41","101.12","嘉義市"
"40","2013"," 嘉義市","60.0256","84","1392","97643","270872","132646","138226","2.77","4512.61","95.96","102.12","嘉義市"
"41","2013"," 東區","30.1556","39","640","44955","123821","60226","63595","2.75","4106.07","94.70","102.12","嘉義市"
"42","2013"," 西區","29.8700","45","752","52688","147051","72420","74631","2.79","4923.03","97.04","102.12","嘉義市"
"43","2014"," 嘉義市","60.0256","84","1392","98276","270883","132413","138470","2.76","4512.79","95.63","103.12","嘉義市"
"44","2014"," 東區","30.1556","39","640","45185","123370","59853","63517","2.73","4091.11","94.23","103.12","嘉義市"
"45","2014"," 西區","29.8700","45","752","53091","147513","72560","74953","2.78","4938.50","96.81","103.12","嘉義市"
"46","2015"," 嘉義市","60.0256","84","1392","98702","270366","131907","138459","2.74","4504.18","95.27","104.12","嘉義市"
"47","2015"," 東區","30.1556","39","640","45274","122900","59486","63414","2.71","4075.53","93.81","104.12","嘉義市"
"48","2015"," 西區","29.8700","45","752","53428","147466","72421","75045","2.76","4936.93","96.50","104.12","嘉義市"
