"現住人口之年齡分配-年 依 年底別, 鄉鎮市別, 性別 與 指標"
" "," "," 合計",20351,566,791,932,1311,1315,1351,1343,1379,1666,1870,1668,1465,1136,918,1047,721,570,225,66,8,3
" "," "," 男",11077,298,411,517,700,708,724,723,770,1002,1151,991,810,609,443,501,345,263,86,22,1,2
" "," "," 女",9274,268,380,415,611,607,627,620,609,664,719,677,655,527,475,546,376,307,139,44,7,1
" "," 水里鄉"
" "," "," 合計",19700,581,754,995,1259,1320,1518,1486,1184,1416,1512,1681,1493,1096,837,947,764,547,227,69,13,1
" "," "," 男",10321,300,375,517,666,685,790,820,669,815,852,896,800,543,413,443,347,249,101,31,8,1
" "," "," 女",9379,281,379,478,593,635,728,666,515,601,660,785,693,553,424,504,417,298,126,38,5,-
" "," 信義鄉"
" "," "," 合計",17059,916,908,1080,1526,1506,1487,1264,1138,1240,1365,1293,1012,659,446,427,361,255,130,45,1,-
" "," "," 男",9237,490,478,553,788,795,798,685,646,709,789,788,560,346,222,212,177,130,53,18,-,-
" "," "," 女",7822,426,430,527,738,711,689,579,492,531,576,505,452,313,224,215,184,125,77,27,1,-
" "," 仁愛鄉"
" "," "," 合計",15595,1061,960,839,1168,1100,1219,1291,1130,1120,1360,1193,1044,700,394,373,270,218,126,21,7,1
" "," "," 男",8135,566,490,404,588,544,653,702,617,633,747,608,561,379,178,155,118,123,58,8,2,1
" "," "," 女",7460,495,470,435,580,556,566,589,513,487,613,585,483,321,216,218,152,95,68,13,5,-
" 民國101年底"
" "," 合計"
" "," "," 合計",520196,18191,22101,30060,36895,37477,38032,41178,35603,38054,41184,42187,36850,29843,18462,19676,15694,11191,5440,1711,332,35
" "," "," 男",267300,9421,11415,15710,18975,19545,19888,21458,18383,19979,21837,22110,19175,15288,9116,9451,7234,5086,2423,671,122,13
" "," "," 女",252896,8770,10686,14350,17920,17932,18144,19720,17220,18075,19347,20077,17675,14555,9346,10225,8460,6105,3017,1040,210,22
" "," 南投市"
" "," "," 合計",103285,3454,4749,6875,7617,8135,7929,8304,6886,7265,8023,8367,7191,5718,3286,3351,2671,1992,1063,336,65,8
" "," "," 男",51884,1848,2529,3548,3901,4340,4102,4286,3448,3578,3881,4103,3570,2802,1563,1532,1203,924,529,168,25,4
" "," "," 女",51401,1606,2220,3327,3716,3795,3827,4018,3438,3687,4142,4264,3621,2916,1723,1819,1468,1068,534,168,40,4
" "," 埔里鎮"
" "," "," 合計",84300,2752,3640,5385,6098,5755,5895,6579,5816,6430,6784,6968,6147,4970,3087,2921,2287,1646,833,252,48,7
" "," "," 男",42374,1375,1814,2854,3088,2986,3069,3344,2901,3213,3446,3521,3042,2453,1515,1420,1016,774,408,114,19,2
" "," "," 女",41926,1377,1826,2531,3010,2769,2826,3235,2915,3217,3338,3447,3105,2517,1572,1501,1271,872,425,138,29,5
" "," 草屯鎮"
" "," "," 合計",99374,3509,4463,5922,7479,7551,7594,8366,7076,7422,7847,7908,6937,5472,3197,3306,2542,1725,798,209,46,5
" "," "," 男",50240,1862,2287,3111,3824,3926,3964,4328,3532,3683,3971,3888,3539,2770,1601,1555,1212,760,333,80,13,1
" "," "," 女",49134,1647,2176,2811,3655,3625,3630,4038,3544,3739,3876,4020,3398,2702,1596,1751,1330,965,465,129,33,4
" "," 竹山鎮"
" "," "," 合計",57560,1952,2367,3269,3813,3865,4304,4823,4057,4102,4268,4451,4028,3588,2215,2421,1964,1256,589,176,49,3
" "," "," 男",29626,955,1228,1692,1993,2053,2247,2492,2203,2167,2293,2364,2040,1826,1099,1200,909,549,245,53,16,2
" "," "," 女",27934,997,1139,1577,1820,1812,2057,2331,1854,1935,1975,2087,1988,1762,1116,1221,1055,707,344,123,33,1
" "," 集集鎮"
" "," "," 合計",11576,346,418,557,772,747,755,852,763,914,948,927,741,703,441,625,491,344,152,67,12,1
" "," "," 男",6048,174,212,276,394,375,368,462,396,516,544,526,419,389,207,307,237,161,56,22,7,-
" "," "," 女",5528,172,206,281,378,372,387,390,367,398,404,401,322,314,234,318,254,183,96,45,5,1
" "," 名間鄉"
" "," "," 合計",40682,1419,1606,2136,2890,2920,2931,3114,2870,2977,3191,3271,2706,2308,1522,1718,1427,1018,432,192,31,3
" "," "," 男",21386,725,836,1151,1473,1518,1547,1635,1507,1631,1771,1864,1511,1164,767,898,677,460,174,64,11,2
" "," "," 女",19296,694,770,985,1417,1402,1384,1479,1363,1346,1420,1407,1195,1144,755,820,750,558,258,128,20,1
" "," 鹿谷鄉"
" "," "," 合計",18878,600,584,742,1165,1268,1371,1408,1150,1284,1476,1669,1457,1183,786,911,797,613,296,101,14,3
" "," "," 男",10015,285,317,383,607,640,721,761,642,746,829,964,818,647,397,467,354,265,139,30,3,-
" "," "," 女",8863,315,267,359,558,628,650,647,508,538,647,705,639,536,389,444,443,348,157,71,11,3
" "," 中寮鄉"
" "," "," 合計",15901,535,497,710,880,963,951,1098,1009,1226,1403,1361,1135,956,723,859,750,479,257,85,24,-
" "," "," 男",8624,295,242,382,477,497,485,564,528,740,876,812,678,554,387,403,352,214,97,33,8,-
" "," "," 女",7277,240,255,328,403,466,466,534,481,486,527,549,457,402,336,456,398,265,160,52,16,-
" "," 魚池鄉"
" "," "," 合計",16747,537,586,763,1023,1038,1046,1284,1193,1197,1309,1356,1311,1078,715,796,631,527,260,82,14,1
" "," "," 男",8801,269,313,408,525,534,520,663,598,667,753,768,750,589,378,392,292,246,99,29,8,-
" "," "," 女",7946,268,273,355,498,504,526,621,595,530,556,588,561,489,337,404,339,281,161,53,6,1
" "," 國姓鄉"
" "," "," 合計",20165,559,707,922,1271,1326,1297,1302,1346,1634,1800,1726,1504,1228,889,1010,755,559,244,74,10,2
" "," "," 男",10968,294,370,504,685,702,718,688,734,977,1129,1011,828,681,426,486,355,254,97,26,2,1
" "," "," 女",9197,265,337,418,586,624,579,614,612,657,671,715,676,547,463,524,400,305,147,48,8,1
" "," 水里鄉"
" "," "," 合計",19341,539,698,949,1224,1273,1444,1454,1160,1361,1513,1611,1569,1168,784,953,743,577,237,69,13,2
" "," "," 男",10145,280,345,495,651,646,765,816,646,800,851,854,834,604,392,432,340,254,104,27,8,1
" "," "," 女",9196,259,353,454,573,627,679,638,514,561,662,757,735,564,392,521,403,323,133,42,5,1
" "," 信義鄉"
" "," "," 合計",16802,899,880,982,1493,1520,1386,1262,1149,1185,1308,1337,1039,703,431,436,348,255,140,47,2,-
" "," "," 男",9073,483,456,488,774,786,767,693,632,673,760,800,577,385,211,209,171,120,68,20,-,-
" "," "," 女",7729,416,424,494,719,734,619,569,517,512,548,537,462,318,220,227,177,135,72,27,2,-
" "," 仁愛鄉"
" "," "," 合計",15585,1090,906,848,1170,1116,1129,1332,1128,1057,1314,1235,1085,768,386,369,288,200,139,21,4,-
" "," "," 男",8116,576,466,418,583,542,615,726,616,588,733,635,569,424,173,150,116,105,74,5,2,-
" "," "," 女",7469,514,440,430,587,574,514,606,512,469,581,600,516,344,213,219,172,95,65,16,2,-
" 民國102年底"
" "," 合計"
" "," "," 合計",517222,17737,20987,28771,35335,37061,36987,41008,36144,36619,40410,42904,37883,31435,19310,19296,15810,11368,5895,1849,373,40
" "," "," 男",265474,9201,10812,15026,18174,19346,19302,21481,18713,19001,21420,22469,19668,16176,9549,9220,7338,5116,2580,733,134,15
" "," "," 女",251748,8536,10175,13745,17161,17715,17685,19527,17431,17618,18990,20435,18215,15259,9761,10076,8472,6252,3315,1116,239,25
" "," 南投市"
" "," "," 合計",102790,3362,4553,6598,7316,7885,7788,8332,7087,6995,7757,8512,7430,6079,3465,3317,2677,1998,1175,382,71,11
" "," "," 男",51599,1795,2406,3439,3742,4182,4065,4327,3594,3419,3762,4156,3694,2970,1659,1508,1213,886,565,183,31,3
" "," "," 女",51191,1567,2147,3159,3574,3703,3723,4005,3493,3576,3995,4356,3736,3109,1806,1809,1464,1112,610,199,40,8
" "," 埔里鎮"
" "," "," 合計",83701,2550,3489,5078,5971,5738,5666,6521,5913,6173,6659,7063,6324,5278,3194,2887,2314,1655,916,249,55,8
" "," "," 男",42054,1279,1745,2673,3038,3016,2912,3384,2947,3055,3376,3558,3160,2550,1585,1392,1045,763,437,115,22,2
" "," "," 女",41647,1271,1744,2405,2933,2722,2754,3137,2966,3118,3283,3505,3164,2728,1609,1495,1269,892,479,134,33,6
" "," 草屯鎮"
" "," "," 合計",99297,3409,4378,5643,7053,7543,7410,8388,7240,7260,7728,8101,7040,5875,3399,3255,2642,1782,848,245,54,4
" "," "," 男",50152,1819,2235,2947,3639,3893,3879,4356,3608,3593,3882,4016,3566,3004,1687,1514,1271,791,342,94,15,1
" "," "," 女",49145,1590,2143,2696,3414,3650,3531,4032,3632,3667,3846,4085,3474,2871,1712,1741,1371,991,506,151,39,3
" "," 竹山鎮"
" "," "," 合計",57101,1886,2168,3207,3639,3813,4091,4725,4139,3990,4223,4489,4130,3694,2371,2429,1920,1314,627,195,46,5
" "," "," 男",29354,929,1117,1639,1904,2014,2133,2465,2233,2101,2251,2412,2082,1867,1187,1199,900,582,256,66,15,2
" "," "," 女",27747,957,1051,1568,1735,1799,1958,2260,1906,1889,1972,2077,2048,1827,1184,1230,1020,732,371,129,31,3
" "," 集集鎮"
" "," "," 合計",11413,327,383,513,748,765,709,828,773,863,933,974,760,670,479,579,518,349,162,65,15,-
" "," "," 男",5965,163,195,263,377,390,352,443,406,465,544,542,432,381,229,279,240,173,62,24,5,-
" "," "," 女",5448,164,188,250,371,375,357,385,367,398,389,432,328,289,250,300,278,176,100,41,10,-
" "," 名間鄉"
" "," "," 合計",40382,1342,1500,2022,2775,2905,2852,3125,2802,2884,3184,3301,2821,2399,1592,1673,1443,1056,472,190,40,4
" "," "," 男",21193,693,777,1075,1406,1517,1502,1638,1488,1569,1754,1871,1549,1239,799,863,712,464,198,64,12,3
" "," "," 女",19189,649,723,947,1369,1388,1350,1487,1314,1315,1430,1430,1272,1160,793,810,731,592,274,126,28,1
" "," 鹿谷鄉"
" "," "," 合計",18667,583,536,688,1073,1246,1336,1398,1169,1208,1405,1717,1525,1235,804,879,801,605,324,118,14,3
" "," "," 男",9914,276,286,356,559,643,701,738,664,690,801,971,868,685,418,440,368,261,146,38,4,1
" "," "," 女",8753,307,250,332,514,603,635,660,505,518,604,746,657,550,386,439,433,344,178,80,10,2
" "," 中寮鄉"
" "," "," 合計",15719,554,446,686,854,925,913,1080,1004,1131,1396,1425,1133,986,737,835,720,527,252,82,32,1
" "," "," 男",8540,298,227,364,454,482,474,572,523,658,873,860,666,585,395,393,335,243,93,31,13,1
" "," "," 女",7179,256,219,322,400,443,439,508,481,473,523,565,467,401,342,442,385,284,159,51,19,-
" "," 魚池鄉"
" "," "," 合計",16696,584,538,756,998,1031,1025,1222,1206,1166,1328,1363,1312,1131,720,767,646,518,281,93,11,-
" "," "," 男",8764,301,283,409,505,531,512,632,611,626,769,764,740,638,377,384,293,240,108,37,4,-
" "," "," 女",7932,283,255,347,493,500,513,590,595,540,559,599,572,493,343,383,353,278,173,56,7,-
" "," 國姓鄉"
" "," "," 合計",19919,564,607,907,1218,1297,1274,1279,1338,1517,1773,1762,1565,1264,884,963,779,557,274,83,12,2
" "," "," 男",10805,296,310,495,655,699,700,692,708,888,1120,1018,873,721,422,462,361,242,117,23,2,1
" "," "," 女",9114,268,297,412,563,598,574,587,630,629,653,744,692,543,462,501,418,315,157,60,10,1
" "," 水里鄉"
" "," "," 合計",19071,530,623,928,1127,1245,1403,1470,1177,1274,1469,1574,1625,1250,794,954,712,566,262,74,13,1
" "," "," 男",10005,281,310,479,603,642,732,810,671,737,821,858,839,671,386,447,312,260,108,30,7,1
" "," "," 女",9066,249,313,449,524,603,671,660,506,537,648,716,786,579,408,507,400,306,154,44,6,-
" "," 信義鄉"
" "," "," 合計",16727,926,843,926,1418,1481,1423,1324,1130,1138,1265,1353,1093,758,434,421,333,252,154,49,6,-
" "," "," 男",8995,487,447,472,733,758,779,706,625,644,740,788,615,426,205,199,166,114,70,19,2,-
" "," "," 女",7732,439,396,454,685,723,644,618,505,494,525,565,478,332,229,222,167,138,84,30,4,-
" "," 仁愛鄉"
" "," "," 合計",15739,1120,923,819,1145,1187,1097,1316,1166,1020,1290,1270,1125,816,437,337,305,189,148,24,4,1
" "," "," 男",8134,584,474,415,559,579,561,718,635,556,727,655,584,439,200,140,122,97,78,9,2,-
" "," "," 女",7605,536,449,404,586,608,536,598,531,464,563,615,541,377,237,197,183,92,70,15,2,1
" 民國103年底"
" "," 合計"
" "," "," 合計",514315,17574,19847,27129,33993,37474,35723,39906,37365,35252,39787,42710,39051,32863,20612,18549,16243,11536,6315,1956,383,47
" "," "," 男",263899,9122,10273,14117,17527,19543,18800,20901,19440,18131,21037,22312,20252,17007,10182,8885,7514,5174,2758,767,139,18
" "," "," 女",250416,8452,9574,13012,16466,17931,16923,19005,17925,17121,18750,20398,18799,15856,10430,9664,8729,6362,3557,1189,244,29
" "," 南投市"
" "," "," 合計",102314,3429,4279,6226,7071,7921,7543,8211,7377,6713,7627,8349,7718,6379,3734,3234,2764,2023,1216,414,74,12
" "," "," 男",51326,1809,2277,3253,3593,4206,3969,4272,3764,3271,3699,4040,3800,3147,1803,1462,1258,894,575,191,39,4
" "," "," 女",50988,1620,2002,2973,3478,3715,3574,3939,3613,3442,3928,4309,3918,3232,1931,1772,1506,1129,641,223,35,8
" "," 埔里鎮"
" "," "," 合計",83021,2526,3329,4718,5792,5811,5480,6229,6046,5949,6500,7053,6476,5482,3423,2867,2360,1665,998,257,48,12
" "," "," 男",41703,1282,1668,2481,2964,3034,2867,3220,3048,2904,3301,3531,3218,2656,1708,1377,1053,764,481,125,17,4
" "," "," 女",41318,1244,1661,2237,2828,2777,2613,3009,2998,3045,3199,3522,3258,2826,1715,1490,1307,901,517,132,31,8
" "," 草屯鎮"
" "," "," 合計",99209,3413,4217,5296,6835,7641,7155,8235,7578,7009,7678,7974,7314,6197,3717,3137,2714,1855,934,249,58,3
" "," "," 男",50119,1829,2170,2704,3553,3970,3760,4279,3831,3476,3840,3969,3637,3186,1821,1514,1268,823,378,93,16,2
" "," "," 女",49090,1584,2047,2592,3282,3671,3395,3956,3747,3533,3838,4005,3677,3011,1896,1623,1446,1032,556,156,42,1
" "," 竹山鎮"
" "," "," 合計",56662,1875,2082,2978,3523,3841,3923,4532,4319,3845,4114,4551,4174,3807,2560,2279,1987,1327,685,209,46,5
" "," "," 男",29120,929,1050,1551,1841,1997,2077,2375,2317,2028,2200,2450,2106,1922,1269,1120,946,587,276,70,9,-
" "," "," 女",27542,946,1032,1427,1682,1844,1846,2157,2002,1817,1914,2101,2068,1885,1291,1159,1041,740,409,139,37,5
" "," 集集鎮"
" "," "," 合計",11390,338,363,473,707,792,685,817,787,807,937,986,806,672,534,530,532,372,168,67,17,-
" "," "," 男",5962,161,194,237,354,404,360,438,411,426,558,535,466,380,263,253,245,179,71,23,4,-
" "," "," 女",5428,177,169,236,353,388,325,379,376,381,379,451,340,292,271,277,287,193,97,44,13,-
" "," 名間鄉"
" "," "," 合計",40019,1264,1376,1969,2631,2915,2801,2983,2893,2782,3187,3294,2889,2458,1671,1602,1475,1058,544,183,37,7
" "," "," 男",21007,653,722,1055,1352,1519,1467,1590,1539,1494,1749,1854,1592,1290,808,830,728,470,228,52,10,5
" "," "," 女",19012,611,654,914,1279,1396,1334,1393,1354,1288,1438,1440,1297,1168,863,772,747,588,316,131,27,2
" "," 鹿谷鄉"
" "," "," 合計",18538,554,505,628,1002,1258,1279,1353,1274,1110,1389,1702,1569,1303,849,831,816,619,353,126,15,3
" "," "," 男",9845,258,279,313,524,647,670,719,714,624,791,953,908,738,438,416,382,269,153,42,6,1
" "," "," 女",8693,296,226,315,478,611,609,634,560,486,598,749,661,565,411,415,434,350,200,84,9,2
" "," 中寮鄉"
" "," "," 合計",15566,535,398,651,848,901,902,1057,983,1060,1386,1416,1207,1019,749,791,752,530,257,89,34,1
" "," "," 男",8464,280,218,334,462,473,472,552,513,601,861,853,717,611,404,366,364,237,99,33,14,-
" "," "," 女",7102,255,180,317,386,428,430,505,470,459,525,563,490,408,345,425,388,293,158,56,20,1
" "," 魚池鄉"
" "," "," 合計",16501,541,527,688,976,1049,955,1174,1202,1149,1285,1393,1303,1197,738,716,677,532,278,108,11,2
" "," "," 男",8655,281,274,382,497,535,495,596,599,622,727,777,733,683,389,361,306,242,113,38,4,1
" "," "," 女",7846,260,253,306,479,514,460,578,603,527,558,616,570,514,349,355,371,290,165,70,7,1
" "," 國姓鄉"
" "," "," 合計",19715,522,534,876,1134,1331,1204,1277,1321,1431,1751,1816,1607,1329,907,920,799,554,298,90,14,-
" "," "," 男",10661,280,266,471,611,714,659,691,708,815,1079,1050,931,746,444,436,354,253,123,25,5,-
" "," "," 女",9054,242,268,405,523,617,545,586,613,616,672,766,676,583,463,484,445,301,175,65,9,-
" "," 水里鄉"
" "," "," 合計",18717,514,565,871,1083,1220,1289,1407,1218,1205,1464,1522,1629,1349,800,895,737,561,287,83,16,2
" "," "," 男",9819,273,288,453,575,630,687,740,702,683,834,822,868,729,377,411,327,256,115,39,9,1
" "," "," 女",8898,241,277,418,508,590,602,667,516,522,630,700,761,620,423,484,410,305,172,44,7,1
" "," 信義鄉"
" "," "," 合計",16813,971,803,912,1286,1521,1412,1362,1147,1136,1245,1342,1185,809,466,404,341,254,157,52,8,-
" "," "," 男",9033,501,425,460,663,782,772,739,637,625,712,790,678,451,226,193,168,113,71,24,3,-
" "," "," 女",7780,470,378,452,623,739,640,623,510,511,533,552,507,358,240,211,173,141,86,28,5,-
" "," 仁愛鄉"
" "," "," 合計",15850,1092,869,843,1105,1273,1095,1269,1220,1056,1224,1312,1174,862,464,343,289,186,140,29,5,-
" "," "," 男",8185,586,442,423,538,632,545,690,657,562,686,688,598,468,232,146,115,87,75,12,3,-
" "," "," 女",7665,506,427,420,567,641,550,579,563,494,538,624,576,394,232,197,174,99,65,17,2,-
" 民國104年底"
" "," 合計"
" "," "," 合計",509490,17400,18553,25012,33156,37043,35142,38110,38005,34133,39171,42228,39682,34346,22580,17543,16460,11678,6635,2142,419,52
" "," "," 男",261379,9016,9659,12994,17130,19304,18649,20116,19809,17515,20578,21982,20624,17722,11253,8391,7563,5187,2851,872,143,21
" "," "," 女",248111,8384,8894,12018,16026,17739,16493,17994,18196,16618,18593,20246,19058,16624,11327,9152,8897,6491,3784,1270,276,31
" "," 南投市"
" "," "," 合計",101622,3435,4085,5715,6879,7732,7552,7894,7574,6602,7506,8248,7799,6607,4226,3103,2784,2043,1284,450,90,14
" "," "," 男",50992,1801,2158,3044,3501,4091,4019,4104,3945,3229,3639,3963,3814,3246,2051,1406,1244,896,583,206,47,5
" "," "," 女",50630,1634,1927,2671,3378,3641,3533,3790,3629,3373,3867,4285,3985,3361,2175,1697,1540,1147,701,244,43,9
" "," 埔里鎮"
" "," "," 合計",82212,2524,3120,4234,5700,5780,5449,5935,6116,5734,6394,6974,6610,5729,3720,2761,2391,1677,1018,280,56,10
" "," "," 男",41233,1289,1583,2171,2936,3032,2912,3066,3088,2797,3217,3471,3275,2763,1851,1321,1081,736,483,138,19,4
" "," "," 女",40979,1235,1537,2063,2764,2748,2537,2869,3028,2937,3177,3503,3335,2966,1869,1440,1310,941,535,142,37,6
" "," 草屯鎮"
" "," "," 合計",98837,3441,3911,4941,6607,7645,7097,7853,7813,6795,7660,7891,7536,6562,4128,2920,2801,1883,1005,290,52,6
" "," "," 男",49957,1824,2030,2534,3448,3955,3738,4155,3989,3334,3797,3946,3723,3357,2045,1430,1269,859,397,111,15,1
" "," "," 女",48880,1617,1881,2407,3159,3690,3359,3698,3824,3461,3863,3945,3813,3205,2083,1490,1532,1024,608,179,37,5
" "," 竹山鎮"
" "," "," 合計",56053,1858,1932,2719,3493,3804,3766,4325,4382,3782,4144,4448,4176,3939,2770,2121,2032,1353,739,222,45,3
" "," "," 男",28781,944,951,1406,1825,1984,2000,2274,2313,2016,2195,2387,2139,1978,1383,1042,970,605,279,80,10,-
" "," "," 女",27272,914,981,1313,1668,1820,1766,2051,2069,1766,1949,2061,2037,1961,1387,1079,1062,748,460,142,35,3
" "," 集集鎮"
" "," "," 合計",11229,340,345,429,660,784,697,771,777,754,917,963,845,688,578,474,521,401,189,73,22,1
" "," "," 男",5848,172,178,210,322,398,355,417,411,385,549,524,491,382,292,228,225,197,81,25,6,-
" "," "," 女",5381,168,167,219,338,386,342,354,366,369,368,439,354,306,286,246,296,204,108,48,16,1
" "," 名間鄉"
" "," "," 合計",39666,1241,1235,1828,2603,2889,2721,2888,2891,2708,3124,3316,2944,2576,1793,1551,1456,1085,581,187,44,5
" "," "," 男",20835,632,650,966,1364,1507,1410,1566,1520,1457,1724,1845,1647,1379,864,784,725,461,254,64,12,4
" "," "," 女",18831,609,585,862,1239,1382,1311,1322,1371,1251,1400,1471,1297,1197,929,767,731,624,327,123,32,1
" "," 鹿谷鄉"
" "," "," 合計",18234,542,449,581,964,1224,1237,1267,1307,1076,1316,1632,1602,1404,900,791,809,609,367,135,21,1
" "," "," 男",9704,255,255,301,490,628,657,684,715,611,753,895,926,804,467,393,394,263,158,51,4,-
" "," "," 女",8530,287,194,280,474,596,580,583,592,465,563,737,676,600,433,398,415,346,209,84,17,1
" "," 中寮鄉"
" "," "," 合計",15353,493,363,602,864,887,871,998,999,1001,1318,1440,1231,1078,788,721,769,540,262,97,27,4
" "," "," 男",8351,260,192,319,463,468,464,518,526,556,797,884,743,633,437,347,364,229,101,39,9,2
" "," "," 女",7002,233,171,283,401,419,407,480,473,445,521,556,488,445,351,374,405,311,161,58,18,2
" "," 魚池鄉"
" "," "," 合計",16289,530,481,637,980,1019,932,1099,1203,1118,1258,1385,1315,1215,803,678,687,520,302,108,16,3
" "," "," 男",8534,270,263,336,506,528,478,574,599,584,711,768,741,685,433,340,304,248,125,36,3,2
" "," "," 女",7755,260,218,301,474,491,454,525,604,534,547,617,574,530,370,338,383,272,177,72,13,1
" "," 國姓鄉"
" "," "," 合計",19360,507,502,801,1044,1314,1202,1182,1312,1327,1705,1825,1636,1361,955,878,836,546,307,100,18,2
" "," "," 男",10487,265,260,429,566,697,674,655,697,755,1039,1077,945,750,482,407,379,244,121,38,7,-
" "," "," 女",8873,242,242,372,478,617,528,527,615,572,666,748,691,611,473,471,457,302,186,62,11,2
" "," 水里鄉"
" "," "," 合計",18339,491,497,818,1055,1195,1207,1320,1249,1136,1399,1497,1633,1382,897,830,731,585,302,98,14,3
" "," "," 男",9629,254,268,425,553,626,642,714,699,644,793,816,863,769,430,372,335,250,127,41,5,3
" "," "," 女",8710,237,229,393,502,569,565,606,550,492,606,681,770,613,467,458,396,335,175,57,9,-
" "," 信義鄉"
" "," "," 合計",16525,903,785,863,1217,1486,1357,1362,1169,1064,1246,1303,1193,881,493,376,352,254,151,61,9,-
" "," "," 男",8875,465,418,443,619,754,767,732,651,585,702,731,719,485,250,178,158,120,70,25,3,-
" "," "," 女",7650,438,367,420,598,732,590,630,518,479,544,572,474,396,243,198,194,134,81,36,6,-
" "," 仁愛鄉"
" "," "," 合計",15771,1095,848,844,1090,1284,1054,1216,1213,1036,1184,1306,1162,924,529,339,291,182,128,41,5,-
" "," "," 男",8153,585,453,410,537,636,533,657,656,562,662,675,598,491,268,143,115,79,72,18,3,-
" "," "," 女",7618,510,395,434,553,648,521,559,557,474,522,631,564,433,261,196,176,103,56,23,2,-

"1.本要覽所用符號代表意義如下： "
"    「－」代表無數值。 "
"   「…」代表數值不明或尚未產生資料。 "
"    「０」代表有數值而不及半單位。 "

